Measurements;Size_40;Size_42;Size_44;Size_46;Size_48;Size_50;Size_52;Size_54;Size_56
OG;80;84;88;92;96;100;104;108;112
OT;60;64;68;72;76;80;84;90;96
OB;86;90;94;98;102;106;110;116;122
VB;18;19;18;20;20;21;21;22;22
ShS;32;33;34;35;36;37;38;39;40
ShP;8,5;9;9,5;10;10,5;11;11,5;12;12,5
ShG1;32;34;36;38;40;42;44;46;48
ShG2;28;29;30;31;32;33;34;35;36
DTS;41;41,5;42;42,5;43;43,5;44;44,5;45
Vpk;40,5;41;41,5;42;42,5;43;43,5;44;44,5
DTP;43;44;45;46;47;48;49;50;51
Vpkp;42,5;43,5;44,5;45,5;46,5;47,5;48,5;49,5;50,5
DPl;11;11;11;12;12;12;12;13;13
OSh;34;35;36;37;38;39;40;41;42
VG;25;26;27;28;29;30;31;32;33
CG;19;19,5;20;20,5;21;21,5;22;22,5;23
GPr;18,5;19;19,5;20;20,5;21;21,5;22;22,5
OP;26;27;28;29;30;31;32;33;34
OZ;14;14,5;15;15,5;16;16,5;17;17,5;18
DR;60;60;61;61;62;62;62;63;63
DRl;39;39;39,5;39,5;40;40;40;40,5;40,5
VS;24,5;25;25,5;26;26,5;27;27,5;28;28,5
VK;56,8;57,1;57,3;57,5;57,8;58,2;58,4;58,6;58,8
OK;37;38;39;40;41;42;43;44;45
OGoleni;31,5;33;34,5;36;37,5;39;40,5;42;43,5
OShik;21,5;22;22,5;23;23,5;24;24,5;25;25,5
OBed;52;54;56;58;59,5;61,5;62,5;63,5;64,5
DNb;100;101,5;103;104,5;106;107,5;109;110,5;112
DNsh;75,5;76,5;77,5;78,5;79,5;80,5;81,5;82,5;83,5
